11989, 1
11990, 1
11991, 1
11992, 1
11993, 1
11994, 1
11996, 1
11997, 1
11998, 1
11999, 1
12000, 1
12001, 1
12002, 1
12004, 1
12006, 1
12008, 1
12013, 1, 32
12014, 1, 32
12017, 1, 32, 33
12019, 1, 32
12021, 1, 32
12022, 1, 32
12029, 1, 32, 33
12030, 1, 32
12035, 1, 32
12038, 1, 32
12039, 1, 32
12040, 1
12041, 1, 32
12042, 1, 32
12043, 1, 32
12044, 1, 32
12045, 1, 32
12046, 1, 32
12047, 1, 32
12048, 1, 32
12049, 1, 32
12050, 1, 32
12051, 1, 32
12052, 1, 32
12053, 1, 32
12055, 1, 32
12056, 1, 32
12057, 1, 32
12058, 1, 32
12059, 1, 32
12060, 1, 32
12062, 1, 32
12063, 1, 32
12064, 1, 32
12065, 1, 32
12066, 1, 32
12068, 1, 32
12069, 1, 32
12070, 1, 32
12071, 1, 32
12072, 1, 32
12073, 1, 32
