## <run number>, <fEvtHdr.fTrigBits>, <N Events>
11989, 1, 34091
11990, 1, 55715
11991, 1, 69564
11992, 1, 49512
11993, 1, 31119
11994, 1, 659589
11996, 1, 538442
11997, 1, 285786
11998, 1, 1288791
11999, 1, 1375445
12000, 1, 638955
12001, 1, 1083206
12002, 1, 1086825
12004, 1, 915956
12006, 1, 1046613
12008, 1, 712981
12013, 1, 322801
12013, 32, 17
12014, 1, 100315
12014, 32, 6
12017, 1, 673157
12017, 32, 36
12017, 33, 1
12019, 1, 495212
12019, 32, 22
12021, 1, 306692
12021, 32, 15
12022, 1, 287246
12022, 32, 7
12029, 1, 713545
12029, 32, 24
12029, 33, 1
12030, 1, 701712
12030, 32, 35
12035, 1, 285401
12035, 32, 9
12038, 1, 169987
12038, 32, 8
12039, 1, 35220
12039, 32, 4
12040, 1, 14675
12041, 1, 152881
12041, 32, 4
12042, 1, 161671
12042, 32, 7
12043, 1, 213819
12043, 32, 11
12044, 1, 164356
12044, 32, 6
12045, 1, 125221
12045, 32, 10
12046, 1, 117295
12046, 32, 3
12047, 1, 163311
12047, 32, 8
12048, 1, 89637
12048, 32, 5
12049, 1, 285335
12049, 32, 15
12050, 1, 768556
12050, 32, 51
12051, 1, 552788
12051, 32, 30
12052, 1, 72432
12052, 32, 5
12053, 1, 266721
12053, 32, 18
12055, 1, 465444
12055, 32, 29
12056, 1, 406805
12056, 32, 28
12057, 1, 474960
12057, 32, 27
12058, 1, 268272
12058, 32, 9
12059, 1, 357951
12059, 32, 15
12060, 1, 189972
12060, 32, 10
12062, 1, 430809
12062, 32, 24
12063, 1, 362494
12063, 32, 24
12064, 1, 269682
12064, 32, 13
12065, 1, 441900
12065, 32, 20
12066, 1, 88839
12066, 32, 3
12068, 1, 354971
12068, 32, 12
12069, 1, 94471
12069, 32, 6
12070, 1, 88639
12070, 32, 1
12071, 1, 268206
12071, 32, 13
12072, 1, 264299
12072, 32, 9
12073, 1, 203405
12073, 32, 9
