sbsconfig,runnum,target,sbsmagcurr(A),bbmagcurr(A),ebeam_mean(GeV),ebeam_std(GeV),charge(C),DAQltime
4,11449,LD2,630,750,3.73954800541667,0.000227884379623,0.00259686,0
4,11451,LD2,630,750,3.73934434445946,0.000214506828152,0.00217609,0
4,11452,LD2,630,750,3.73943602365079,0.000128201977711,0.00898508,0
4,11456,LD2,630,750,3.73941375583333,0.00017533923785,0.00732743,0
4,11493,LD2,630,750,3.73920992940741,0.000346081936229,0.00236925,0
4,11494,LD2,630,750,3.73907501811828,0.00010248189147,0.00335627,0
4,11495,LD2,630,750,3.73915884454545,0.000107082857082,0.00342057,0
4,11496,LD2,630,750,3.73908159493827,8.79200678784433E-05,0.00304391,0
4,11551,LD2,630,750,3.73920846712121,0.000187314967793,0.00132071,0
4,11554,LD2,630,750,3.73917625754386,0.000199008747621,0.000869628,0
4,11562,LD2,630,750,3.739323417,0.000134481104653,0.00336828,0
4,11563,LD2,630,750,3.739350498,4.41015955870392E-05,0.00075669,0
4,11564,LD2,630,750,3.73934059741935,3.55591595696064E-05,0.00192168,0
4,11565,LD2,630,750,3.73930925559524,0.000122787572341,0.00251332,0
4,11568,LD2,630,750,3.73933698632184,4.90943319115583E-05,0.00269407,0
4,11570,LD2,630,750,3.73929887188679,0.00012684871154,0.00145423,0
4,11571,LD2,630,750,3.73931567957143,8.99208011181723E-05,0.00206349,0
4,11579,LD2,0,750,3.73932257368159,9.73018283198522E-05,0.00584684,0
4,11580,LD2,0,750,3.73932753275862,9.87073110890776E-05,0.00170179,0
4,11581,LD2,0,750,3.73932809295775,9.65558563792464E-05,0.00411985,0
4,11582,LD2,0,750,3.73930379011364,0.00010256132494,0.00253737,0
4,11583,LD2,0,750,3.73919048679348,0.000174633720597,0.00336685,0
4,11586,LD2,0,750,3.73927801747253,0.000129902279916,0.00483441,0
4,11593,LD2,1050,750,3.73933011751479,0.000205442325662,0.00392495,0
4,11594,LD2,1050,750,3.73933353818182,0.000189008376882,0.00108199,0
4,11595,LD2,1050,750,3.73943421267857,7.25399728422439E-05,0.00170929,0
7,11996,LD2,1785,750,7.9308120075,0.000558672076464,0.00651399,0
7,11997,LD2,1785,750,7.93105435662921,0.000255134095032,0.00342614,0
7,11998,LD2,1785,750,7.93086875537313,0.000816891468114,0.0155879,0
7,11999,LD2,1785,750,7.93097481334975,0.000795408454678,0.0164604,0
7,12001,LD2,1785,750,7.9306633275,0.00086063106578,0.0129417,0
7,12002,LD2,1785,750,7.93108227763547,0.00098627024074,0.0129081,0
7,12004,LD2,1785,750,7.93091771583333,0.000533720291018,0.0109482,0
7,12006,LD2,1785,750,7.9310043475,0.001015261031957,0.0126405,0
7,12013,LD2,1785,750,7.93113655666667,0.000395630036943,0.0123916,0
7,12014,LD2,1785,750,7.93099283456989,0.00061438529544,0.00409855,0
7,12017,LD2,1785,750,7.93117956369458,0.00048769449903,0.0273946,0
7,12019,LD2,1785,750,7.93113045128079,0.000511180171881,0.0197013,0
7,12021,LD2,1785,750,7.93073532857143,0.000570876483512,0.0129128,0
7,12029,LD2,1785,750,7.93083661674877,0.000759103596561,0.0289188,0
7,12030,LD2,1785,750,7.93079200054187,0.000647367586828,0.0277528,0
7,12038,LD2,1785,750,7.9307214446798,0.000397127985607,0.00692662,0
7,12039,LD2,1785,750,7.93070042564103,0.000121016947568,0.00149455,0
7,12040,LD2,1785,750,7.93074978173913,0.00031467682729,0.000620016,0
7,12041,LD2,1785,750,7.93069867833333,0.00041440080783,0.00655155,0
7,12042,LD2,1785,750,7.93068260931034,0.00035399624928,0.00682457,0
7,12043,LD2,1785,750,7.93081512769231,0.000219950810556,0.00895837,0
7,12044,LD2,1785,750,7.93061733943299,0.000347979479284,0.00701956,0
7,12045,LD2,1785,750,7.93059233931034,0.000403094131724,0.0054707,0
7,12046,LD2,1785,750,7.93038106699507,0.000437631138203,0.00521427,0
7,12047,LD2,1785,750,7.93088014596059,0.000380600884409,0.00699298,0
7,12048,LD2,1785,750,7.93078204195312,0.000412895777202,0.00384835,0
7,12050,LD2,1785,750,7.93053588673575,0.000414909726556,0.0335022,0
7,12051,LD2,1785,750,7.93066818192118,0.000252566334833,0.0242493,0
7,12055,LD2,1785,750,7.93026055416667,0.000238192260115,0.0214874,0
7,12056,LD2,1785,750,7.93081102295566,0.000511294762198,0.0186954,0
7,12057,LD2,1785,750,7.93081383926108,0.000523380955731,0.0215622,0
7,12059,LD2,1785,750,7.93085909778325,0.000444947913678,0.0161023,0
7,12060,LD2,1785,750,7.93065079,0.000572644050578,0.00869104,0
7,12062,LD2,1785,750,7.93107982325,0.000362868255807,0.0197624,0
7,12063,LD2,1785,750,7.93097782729064,0.000499297736983,0.0166414,0
7,12065,LD2,1785,750,7.9309362025,0.000557781967742,0.0203831,0
7,12066,LD2,1785,750,7.93073280871921,0.000631251912862,0.00416998,0
7,12068,LD2,1785,750,7.93126719368,0.000210373717019,0.0157438,0
7,12069,LD2,1785,750,7.93114409029197,0.000601727743989,0.00429183,0
7,12070,LD2,1785,750,7.93107408861788,0.000488966963687,0.00391913,0
7,12071,LD2,1785,750,7.93103202881773,0.000519852745676,0.0118818,0
7,12073,LD2,1785,750,7.93103662384236,0.000524156781619,0.00910812,0
11,12314,LD2,2100,750,9.88870426393899,0.000316207804718,0.0440307,0
11,12315,LD2,2100,750,9.8887075486253,0.000393332318274,0.0452146,0
11,12316,LD2,2100,750,9.88889035103448,0.000316330123938,0.00898726,0
11,12318,LD2,2100,750,9.88921937818701,0.000107851678479,0.0164236,0
11,12319,LD2,2100,750,9.8892787175,0.000441628676745,0.0143198,0
11,12321,LD2,2100,750,9.88907030344086,0.00034904746561,0.00515549,0
11,12322,LD2,2100,750,9.88913640719212,0.00034701641273,0.0244069,0
11,12323,LD2,2100,750,9.88933263361446,0.000336876618626,0.00408657,0
11,12333,LD2,2100,750,9.88888578651713,0.000225313237964,0.0873899,0
11,12337,LD2,2100,750,9.88897143140434,0.000307071834266,0.0599664,0
11,12338,LD2,2100,750,9.88910308635897,0.000181842108233,0.0190712,0
11,12339,LD2,2100,750,9.88912923165488,0.000279156681278,0.0358327,0
11,12341,LD2,2100,750,9.88915192383803,0.000544436148524,0.0054298,0
11,12342,LD2,2100,750,9.88912574555985,0.000177412384392,0.0144721,0
11,12343,LD2,2100,750,9.88922108580713,0.000273955088733,0.0120503,0
11,12344,LD2,2100,750,9.88926033896721,0.000189868215277,0.0160235,0
11,12346,LD2,2100,750,9.88934279608916,0.000213077673549,0.0519779,0
11,12347,LD2,2100,750,9.88926974583461,0.000150387958746,0.010298,0
11,12348,LD2,2100,750,9.88921918638568,0.000239391171473,0.0437415,0
11,12349,LD2,2100,750,9.88921424763975,0.000153609830896,0.00859545,0
11,12356,LD2,2100,750,9.88893796358036,0.000291424249706,0.0535093,0
11,12357,LD2,2100,750,9.88921709132597,0.000192645326028,0.00747054,0
11,12359,LD2,2100,750,9.88923661828488,0.000211861626214,0.0577069,0
11,12360,LD2,2100,750,9.88919370802643,0.000273921793911,0.0579585,0
11,12362,LD2,2100,750,9.88913182405063,0.000242764252379,0.0595693,0
11,12364,LD2,2100,750,9.88906712605711,0.00018505152199,0.103423,0
11,12366,LD2,2100,750,9.88914811342007,0.000265337061487,0.0137682,0
11,12371,LD2,2100,750,9.88921774861314,4.57222562163376E-05,0.00282669,0
11,12372,LD2,2100,750,9.88907788591837,0.000221377404016,0.0228393,0
11,12373,LD2,2100,750,9.88908654471601,0.000188303060389,0.0331945,0
11,12374,LD2,2100,750,9.88909402666667,0.000142665903188,0.0295728,0
11,12375,LD2,2100,750,9.88909565189349,0.000140622590891,0.0294369,0
11,12376,LD2,2100,750,9.88914049629779,0.000168028274576,0.0292659,0
11,12377,LD2,2100,750,9.88919351319471,0.00014030982697,0.0296602,0
11,12378,LD2,2100,750,9.88923340777778,0.000134014697413,0.0292717,0
11,12379,LD2,2100,750,9.88917769933539,0.000159830076302,0.0327676,0
11,12383,LD2,2100,750,9.88895632366987,0.000200134399659,0.0312159,0
11,12384,LD2,2100,750,9.88883204321495,0.000199197177512,0.0303347,0
11,12385,LD2,2100,750,9.88885407875,0.000177992484582,0.00469844,0
11,12387,LD2,2100,750,9.88912559533752,0.000212772488334,0.0316486,0
