sbsconfig,runnum,target,sbsmagcurr(A),bbmagcurr(A),ebeam_mean(GeV),ebeam_std(GeV),totcharge(C),DAQltime
4,11436,LH2,630,750,3.73929426529032,0.000158808434327,0.0109847,0
4,11500,LH2,630,750,3.73939135934783,0.000137485106405,0.00500944,0
4,11547,LH2,630,750,3.73915609475247,0.000171556775303,0.0061341,0
4,11548,LH2,630,750,3.73900990083333,7.35937091560823E-05,0.00550121,0
4,11573,LH2,0,750,3.73929966615763,0.000126757755023,0.0117094,0
4,11587,LH2,0,750,3.73916418583333,0.000174010973868,0.00792101,0
4,11588,LH2,0,750,3.73916862066667,0.000162260388693,0.00259923,0
4,11589,LH2,1050,750,3.73917440608696,0.000114018336793,0.00100384,0
4,11590,LH2,1050,750,3.73928821414634,0.000192766854575,0.00735889,0
4,11592,LH2,1050,750,3.73921241833333,0.000224043081051,0.00184626,0
4,11616,LH2,630,750,3.73934034174825,0.00015493812997,0.00739176,0
7,11989,LH2,1785,750,7.9311127523871,0.000333152429354,0.00130755,0
7,11990,LH2,1785,750,7.93106168114865,0.000409525537344,0.00198962,0
7,11991,LH2,1785,750,7.93119605727273,0.000436942889164,0.00229598,0
7,11992,LH2,1785,750,7.93124708333333,0.000105963780995,0.00160917,0
7,11993,LH2,1785,750,7.9308222403125,0.000750794173867,0.00113811,0
7,11994,LH2,1785,750,7.93112053788571,0.000582337097884,0.0236623,0
7,12000,LH2,1785,750,7.9306763837931,0.000891261168781,0.0223243,0
7,12008,LH2,1785,750,7.93081038064039,0.000790329822787,0.0253461,0
7,12022,LH2,1785,750,7.93088058075862,0.00061549340744,0.0321092,0
7,12035,LH2,1785,750,7.93062771605911,0.000477727886784,0.0318323,0
7,12049,LH2,1785,750,7.9305367725,0.000456208969701,0.034047,0
7,12052,LH2,1785,750,7.93053102,0.000249060051902,0.00875864,0
7,12053,LH2,1785,750,7.93045976409091,0.0002127279229,0.0335387,0
7,12058,LH2,1785,750,7.9311318288,0.000356348148057,0.022529,0
7,12064,LH2,1785,750,7.93104512216749,0.000475585546862,0.0348756,0
7,12072,LH2,1785,750,7.93099398518072,0.000561608020948,0.0327866,0
11,12313,LH2,2100,750,9.88872397979911,0.000267004612453,0.0460301,0
11,12320,LH2,2100,750,9.88919657718638,0.000379366929698,0.0313638,0
11,12335,LH2,2100,750,9.88882647345455,0.000287171053588,0.0240205,0
11,12336,LH2,2100,750,9.88896972906736,0.000336978951437,0.0385814,0
11,12340,LH2,2100,750,9.8890919402,0.000124300720241,0.0411478,0
