kine,mag,target,bb_etot_over_p,hcale,coin,W2,bb_ps_e,bb_tr_vz,bb_gem_track_nhits,hcalon,xexp,yexp,dy,mag,tar,bb_grinch_tdc_clus_size,bb_grinch_tdc_clus_trackindex,pspot,nspot
4,0,lh2,bb_etot_over_p>0.8&&bb_etot_over_p<1.18,hcale>0.02,coin>-10.0&&coin<10.0,W2>0.65&&W2<0.95,bb_ps_e>0.25,abs(bb_tr_vz)<0.073,bb_gem_track_nhits>2,hcalon==1,xexp<0.8&&xexp>-1.3,yexp<0.45&&yexp>-0.25,dy>-0.35&&dy<0.25,mag==0,tar==0,,,"(pow(dx_bc + 0.0381, 2) / pow(0.263, 2)) + (pow(dy_bc + 0.0509, 2) / pow(0.33, 2)) <= 1",
4,30,lh2,bb_etot_over_p>0.8&&bb_etot_over_p<1.18,hcale>0.02,coin>-10.0&&coin<10.0,W2>0.65&&W2<0.95,bb_ps_e>0.25,abs(bb_tr_vz)<0.073,bb_gem_track_nhits>2,hcalon==1,xexp<0.8&&xexp>-1.3,yexp<0.45&&yexp>-0.25,dy>-0.35&&dy<0.25,mag==30,tar==0,,,"(pow(dx_bc + 0.7358, 2) / pow(0.3581, 2)) + (pow(dy_bc + 0.0481, 2) / pow(0.3660, 2)) <= 1",
4,50,lh2,bb_etot_over_p>0.8&&bb_etot_over_p<1.18,hcale>0.027,coin>-10.0&&coin<10.0,W2>0.22&&W2<1.24,bb_ps_e>0.25,abs(bb_tr_vz)<0.073,bb_gem_track_nhits>2,hcalon==1,xexp<0.7&&xexp>-1.1,yexp<0.45&&yexp>-0.25,dy>-0.35&&dy<0.25,mag==50,tar==0,,,"(pow(dx_bc + 1.2125, 2) / pow(0.3725, 2)) + (pow(dy_bc + 0.0505, 2) / pow(0.3378, 2)) <= 1",
4,30,ld2,bb_etot_over_p>0.81&&bb_etot_over_p<1.17,hcale>0.0224,coin>-10.0&&coin<10.0,W2>0.595&&W2<1.16,bb_ps_e>0.234,abs(bb_tr_vz)<0.073,bb_gem_track_nhits>2,hcalon==1,xexp<0.8&&xexp>-1.3,yexp<0.45&&yexp>-0.25,dy>-0.36&&dy<0.264,mag==30,tar==1,,,"(pow(dx_bc + 0.71, 2) / pow(0.32, 2)) + (pow(dy_bc + 0.05, 2) / pow(0.40, 2)) <= 1","(pow(dx_bc + 0.05, 2) / pow(0.32, 2)) + (pow(dy_bc + 0.05, 2) / pow(0.40, 2)) <= 1"
4,50,ld2,bb_etot_over_p>0.81&&bb_etot_over_p<1.17,hcale>0.0224,coin>-10.0&&coin<10.0,W2>0.595&&W2<1.16,bb_ps_e>0.234,abs(bb_tr_vz)<0.073,bb_gem_track_nhits>2,hcalon==1,xexp<0.7&&xexp>-1.1,yexp<0.73&&yexp>-0.73,dy>-0.36&&dy<0.264,mag==50,tar==1,,,"(pow(dx_bc + 1.20, 2) / pow(0.25, 2)) + (pow(dy_bc + 0.05, 2) / pow(0.3, 2)) <= 1","(pow(dx_bc + 0.0, 2) / pow(0.25, 2)) + (pow(dy_bc + 0.05, 2) / pow(0.3, 2)) <= 1"
8,0,lh2,bb_etot_over_p>0.8&&bb_etot_over_p<1.18,hcale>0.02,coin>-10.0&&coin<10.0,W2>0.65&&W2<0.95,bb_ps_e>0.2,abs(bb_tr_vz)<0.073,bb_gem_track_nhits>2,hcalon==1,xexp<1.0&&xexp>-1.9,yexp<0.65&&yexp>-0.5,dy>-0.35&&dy<0.25,mag==0,tar==0,bb_grinch_tdc_clus_size>1,bb_grinch_tdc_clus_trackindex==0,"(pow(dx_bc - 0.0167, 2) / pow(0.3375, 2)) + (pow(dy_bc + 0.0567, 2) / pow(0.33, 2)) <= 1",
8,50,lh2,bb_etot_over_p>0.8&&bb_etot_over_p<1.18,hcale>0.055,coin>-10.0&&coin<10.0,W2>0.65&&W2<0.95,bb_ps_e>0.2,abs(bb_tr_vz)<0.073,bb_gem_track_nhits>2,hcalon==1,xexp<1.5&&xexp>-1.9,yexp<0.5&&yexp>-0.5,dy>-0.35&&dy<0.25,mag==50,tar==0,bb_grinch_tdc_clus_size>1,bb_grinch_tdc_clus_trackindex==0,"(pow(dx_bc + 0.6197, 2) / pow(0.3375, 2)) + (pow(dy_bc + 0.0535, 2) / pow(0.33, 2)) <= 1",
8,70,lh2,bb_etot_over_p>0.8&&bb_etot_over_p<1.18,hcale>0.055,coin>-10.0&&coin<10.0,W2>0.65&&W2<0.95,bb_ps_e>0.2,abs(bb_tr_vz)<0.073,bb_gem_track_nhits>2,hcalon==1,xexp<1.5&&xexp>-1.9,yexp<0.5&&yexp>-0.5,dy>-0.35&&dy<0.25,mag==70,tar==0,bb_grinch_tdc_clus_size>1,bb_grinch_tdc_clus_trackindex==0,"(pow(dx_bc + 0.8482, 2) / pow(0.4426, 2)) + (pow(dy_bc + 0.0466, 2) / pow(0.3636, 2)) <= 1",
8,100,lh2,bb_etot_over_p>0.8&&bb_etot_over_p<1.18,hcale>0.055,coin>-10.0&&coin<10.0,W2>0.65&&W2<0.95,bb_ps_e>0.2,abs(bb_tr_vz)<0.073,bb_gem_track_nhits>2,hcalon==1,xexp<1.0&&xexp>-1.9,yexp<0.5&&yexp>-0.5,dy>-0.35&&dy<0.25,mag==100,tar==0,bb_grinch_tdc_clus_size>1,bb_grinch_tdc_clus_trackindex==0,"(pow(dx_bc + 0.9, 2) / pow(0.3, 2)) + (pow(dy_bc + 0.07, 2) / pow(0.3, 2)) <= 1",
8,50,ld2,bb_etot_over_p>0.84&&bb_etot_over_p<1.16,hcale>0.08,coin>-10.0&&coin<10.0,W2>0.49&&W2<1.09,bb_ps_e>0.288,abs(bb_tr_vz)<0.073,bb_gem_track_nhits>2,hcalon==1,xexp<0.8&&xexp>-0.9,yexp<0.4&&yexp>-0.4,dy>-0.3&&dy<0.2,mag==50,tar==1,bb_grinch_tdc_clus_size>1,bb_grinch_tdc_clus_trackindex==0,"(pow(dx_bc + 0.62, 2) / pow(0.26, 2)) + (pow(dy_bc + 0.07, 2) / pow(0.36, 2)) <= 1","(pow(dx_bc + 0.0, 2) / pow(0.26, 2)) + (pow(dy_bc + 0.07, 2) / pow(0.36, 2)) <= 1"
